# https://store.tmotor.com/product/u15xxl-manned-aircraft-combo.html
# Type: U15XXL KV29
# Propeller: 57*22"

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
864,11804,8.41,115.7576966,0.072651757
1032,16098,11.37,157.8674517,0.072022446
1134,19557,13.84,191.7886541,0.072162767
1224,23319,16.46,228.6812714,0.07197791
1374,29643,20.92,290.698526,0.071964589
1512,34191,24.25,335.2991702,0.072323472
1596,40059,28.46,392.8445924,0.072445951
1770,48710,34.64,477.6819215,0.072516875
1878,55823,39.87,547.436623,0.072830348
1950,59448,42.63,582.9857292,0.073123574
2022,64474,46.35,632.2739521,0.073306831
2112,69449,50.22,681.0620359,0.073737776
2172,74318,53.78,728.8106147,0.073791461
2232,80266,58.08,787.1405689,0.073786058
2310,85493,61.72,838.3999285,0.073616418
