# https://store.tmotor.com/product/mn801-s-kv120-motor-navigator-type.html
# Type: MN801S KV120
# Propeller: G28*9.2
# Battery: 12S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
1930,3083,0.85,30.23390195,0.028114135
1984,3259,0.91,31.95987235,0.028473205
2076,3506,0.98,34.3821149,0.028503191
2174,3724,1.04,36.5199646,0.028477574
2264,3985,1.11,39.07950025,0.028403639
2356,4247,1.19,41.64884255,0.028572223
2432,4477,1.28,43.90437205,0.029154272
2512,4746,1.35,46.5423609,0.029005834
2597,5010,1.43,49.1313165,0.029105672
2676,5299,1.51,51.96543835,0.029057775
2775,5566,1.58,54.5838139,0.02894631
2857,5816,1.66,57.0354764,0.029104692
2942,6085,1.74,59.67346525,0.029158689
3020,6329,1.81,62.06628785,0.029162369
3138,6769,1.94,66.38121385,0.029225136
3204,7059,2.03,69.22514235,0.029324606
3396,7721,2.24,75.71714465,0.029583789
3567,8402,2.45,82.3954733,0.029734643
3903,9924,2.9,97.3211946,0.029798237
# 4277,10472,3.44,102.6952388,0.033497171
